team,season,sos_sp,n_rated_opponents
Western Michigan,2003,-3.6,11
Western New Mexico,2003,-17.7,1
William & Mary,2003,-10.2,1
Wisconsin,2003,5.7,12
Wofford,2003,2.1,1
Wyoming,2003,3.4636,11
Youngstown State,2003,-12.1,1
Air Force,2004,2.37,10
Akron,2004,-6.6364,11
Alabama,2004,5.18,10
App State,2004,-1.6,1
Arizona,2004,13.41,10
Arizona State,2004,12.1364,11
Arkansas,2004,8.8273,11
Arkansas State,2004,-6.5364,11
Army,2004,-2.7,11
Auburn,2004,6.3636,11
BYU,2004,7.2455,11
Ball State,2004,-4.8727,11
Baylor,2004,9.61,10
Bethune-Cookman,2004,-37.4,2
Boise State,2004,-4.0727,11
Boston College,2004,-0.02,10
Bowling Green,2004,-7.57,10
Buffalo,2004,-10.4182,11
California,2004,7.2273,11
Central Michigan,2004,-8.45,10
Chattanooga,2004,2.8,1
Cincinnati,2004,-0.3273,11
Clemson,2004,8.3,11
Colorado,2004,7.975,12
Colorado State,2004,6.68,10
Delaware,2004,-3.4,1
Duke,2004,9.28,10
East Carolina,2004,0.2545,11
Eastern Illinois,2004,-20.2,1
Eastern Kentucky,2004,-6.2,1
Eastern Michigan,2004,-9.0,10
Eastern Washington,2004,-0.9,1
Edward Waters,2004,-11.7,2
Florida,2004,4.3818,11
Florida A&M,2004,-12.1125,8
Florida Atlantic,2004,-16.2222,9
Florida International,2004,-20.6667,6
Florida State,2004,8.1545,11
Fresno State,2004,-4.37,10
Furman,2004,6.4,1
Georgia,2004,10.21,10
Georgia Southern,2004,-11.2667,3
Georgia Tech,2004,11.36,10
Hawai'i,2004,-4.0083,12
Houston,2004,1.1818,11
Idaho,2004,-7.5417,12
Idaho State,2004,-4.0,1
Illinois,2004,2.6636,11
Illinois State,2004,-4.2333,3
Indiana,2004,3.9364,11
Indiana State,2004,-0.3,1
Iowa,2004,8.1909,11
Iowa State,2004,7.59,10
James Madison,2004,8.1,1
Kansas,2004,7.7727,11
Kansas State,2004,9.01,10
Kent State,2004,-10.39,10
Kentucky,2004,7.9818,11
LSU,2004,7.2455,11
Liberty,2004,-10.0,1
Louisiana,2004,-10.02,10
Louisiana Tech,2004,2.7417,12
Louisville,2004,-2.3727,11
Maine,2004,-5.7,1
Marshall,2004,-4.7182,11
Maryland,2004,7.1727,11
Massachusetts,2004,8.5,1
McNeese,2004,-27.8,2
Memphis,2004,-4.31,10
Miami,2004,10.9818,11
Miami (OH),2004,-7.3636,11
Michigan,2004,5.9,11
Michigan State,2004,3.85,12
Middle Tennessee,2004,-10.1091,11
Minnesota,2004,4.49,10
Mississippi State,2004,5.63,10
Missouri,2004,2.4818,11
Missouri State,2004,-14.0,1
Montana State,2004,-0.9,1
Morgan State,2004,-22.8,1
Murray State,2004,-0.4,1
NC State,2004,10.2,10
Navy,2004,-7.2778,9
Nebraska,2004,7.62,10
Nevada,2004,-6.9636,11
New Hampshire,2004,-6.7,1
New Mexico,2004,3.7636,11
New Mexico State,2004,-3.2818,11
Nicholls,2004,-37.4,2
North Carolina,2004,14.65,10
North Carolina A&T,2004,-0.9,1
North Texas,2004,-8.8455,11
Northeastern,2004,-3.4,1
Northern Arizona,2004,3.1,1
Northern Colorado,2004,-11.7,2
Northern Illinois,2004,-9.49,10
Northern Iowa,2004,3.9,1
Northwestern,2004,7.2833,12
